from;B-ch4-import;BB-ch4-import;B-ch4-shortage;BB-ch4-shortage;B-electricity-import;BB-electricity-import;B-electricity-shortage;BB-electricity-shortage;B-h2-import;BB-h2-import;B-h2-shortage;BB-h2-shortage;B-heat_central-shortage;BB-heat_central-shortage;B-heat_decentral-shortage;BB-heat_decentral-shortage
to;B-ch4;BB-ch4;B-ch4;BB-ch4;B-electricity;BB-electricity;B-electricity;BB-electricity;B-h2;BB-h2;B-h2;BB-h2;B-heat_central;BB-heat_central;B-heat_decentral;BB-heat_decentral
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-01-03 13:00:00;0.0;0.0;1844.4899;1029.5985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 14:00:00;0.0;0.0;2086.2149;1030.1744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 15:00:00;0.0;0.0;2141.2074;1035.6034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 16:00:00;0.0;0.0;2164.6004;1053.2649;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 17:00:00;0.0;0.0;2182.4497;1066.5211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 18:00:00;0.0;0.0;2181.3615;1065.7015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 19:00:00;0.0;0.0;2143.6931;1036.0637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 20:00:00;0.0;0.0;2087.2159;994.40395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 21:00:00;0.0;0.0;2014.1256;942.36354;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 22:00:00;0.0;0.0;1895.6195;861.7392;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 23:00:00;0.0;0.0;1800.011;785.58544;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 00:00:00;0.0;0.0;1766.9166;757.46869;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 01:00:00;0.0;0.0;1785.3455;773.62825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 02:00:00;0.0;0.0;1797.7933;783.66858;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 03:00:00;0.0;0.0;1824.709;804.67151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 04:00:00;0.0;0.0;1910.5476;866.79736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 05:00:00;0.0;0.0;2124.6774;1032.7688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 06:00:00;0.0;0.0;2285.5406;1145.7854;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 07:00:00;0.0;0.0;2318.585;1175.9562;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 08:00:00;0.0;0.0;2309.3818;1170.3865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 09:00:00;0.0;0.0;2269.1498;1141.5715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 10:00:00;0.0;0.0;2226.0477;1109.9848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 11:00:00;0.0;0.0;2187.4934;1078.9418;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 12:00:00;0.0;0.0;2157.0179;1055.5396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 13:00:00;0.0;0.0;2135.95;1037.2865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 14:00:00;0.0;0.0;2138.1681;1037.8471;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 15:00:00;0.0;0.0;2148.2645;1085.1548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 16:00:00;0.0;0.0;2248.7536;1062.0349;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 17:00:00;0.0;0.0;2040.4277;1033.5792;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 18:00:00;0.0;0.0;2126.347;1073.638;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 19:00:00;0.0;0.0;2068.4051;1043.4919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 20:00:00;0.0;0.0;1956.7389;1001.2008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 21:00:00;0.0;0.0;1766.6198;948.55354;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 22:00:00;0.0;0.0;1434.8155;867.06635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-04 23:00:00;0.0;0.0;1158.3175;790.18278;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-05 00:00:00;0.0;0.0;1359.7389;856.92073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-05 01:00:00;0.0;0.0;1385.8927;866.13655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-05 02:00:00;0.0;0.0;1413.3937;873.16931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
