from;B-ch4;BB-ch4;B-electricity;BB-electricity;B-electricity;BB-electricity;B-h2;BB-h2;B-heat_central;BB-heat_central;B-heat_decentral;BB-heat_decentral
to;B-ch4-demand;BB-ch4-demand;B-electricity-bev_charging;BB-electricity-bev_charging;B-electricity-demand;BB-electricity-demand;B-h2-demand;BB-h2-demand;B-heat_central-demand;BB-heat_central-demand;B-heat_decentral-demand;BB-heat_decentral-demand
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-09-20 23:00:00;7.851598173515981;405.1665525114155;333.2553761107648;1211.240847332571;790.8787675032177;1787.9093753333975;408.42899543378996;692.6917808219177;412.63922581859777;209.73995157652007;352.35128147253613;694.6128509256747
2017-09-21 00:00:00;7.851598173515981;405.1665525114155;305.2867792651655;1179.926207206234;769.7112400925441;1740.0567558609498;408.42899543378996;692.6917808219177;297.61332075362776;154.23864022724123;266.4298187605895;534.6620806582082
2017-09-21 01:00:00;7.851598173515981;405.1665525114155;304.13203196571266;1155.677913429976;785.3527315862718;1775.4168773295285;408.42899543378996;692.6917808219177;304.55033353920965;158.76007740561448;276.33626551575895;556.5569170413642
2017-09-21 02:00:00;7.851598173515981;405.1665525114155;291.12433528490305;1139.1392172841588;812.7019262938677;1837.2441555859652;408.42899543378996;692.6917808219177;312.7107864632145;164.60970797508708;295.5067536200604;597.642700115726
2017-09-21 03:00:00;7.851598173515981;405.1665525114155;288.6152743638895;1124.5306527567418;884.5403932141623;1999.646629636263;408.42899543378996;692.6917808219177;355.3070155112306;186.88063481469447;329.68296756521977;667.4493336077923
2017-09-21 04:00:00;7.851598173515981;405.1665525114155;292.08969393135027;1126.6067846673488;1031.9637920831894;2332.921067908974;408.42899543378996;692.6917808219177;515.1907341986235;262.590215730982;448.3925124931634;889.4252571241426
2017-09-21 05:00:00;7.851598173515981;405.1665525114155;309.45197734838376;1163.486722466472;1112.231805317469;2514.379894846529;408.42899543378996;692.6917808219177;854.3130595933845;422.7657872209281;732.268197444196;1418.0676922928042
2017-09-21 06:00:00;7.851598173515981;405.1665525114155;264.203057633615;1054.6537274768714;1176.577342180888;2659.8433885525983;408.42899543378996;692.6917808219177;1037.7420734014615;512.1489729417308;902.9078607648933;1743.2460744750792
2017-09-21 07:00:00;7.851598173515981;405.1665525114155;281.91566803656735;1119.953329288066;1158.4069867929647;2618.766361217842;408.42899543378996;692.6917808219177;994.0408309679797;499.80926334648626;886.3353151142934;1735.5433892921142
2017-09-21 08:00:00;7.851598173515981;405.1665525114155;293.74217550841007;1265.352532012498;1138.2697372651116;2573.242851542726;408.42899543378996;692.6917808219177;885.5171929476073;447.171543580484;779.9049351800858;1533.7908719551522
2017-09-21 09:00:00;7.851598173515981;405.1665525114155;321.2646498172654;1373.3951317792237;1144.1704196849014;2586.582298563807;408.42899543378996;692.6917808219177;813.0454874666076;412.46363800746144;710.4985402783126;1403.3889947473851
