from;r120640428428-biomass_gas-commodity;r120640472472-biomass_gas-commodity;r120670124124-biomass_gas-commodity;r120670201201-biomass_gas-commodity;r120640428428-biomass_solid-commodity;r120640472472-biomass_solid-commodity;r120670124124-biomass_solid-commodity;r120670201201-biomass_solid-commodity;r120640428428-electricity-import;r120640472472-electricity-import;r120670124124-electricity-import;r120670201201-electricity-import;r120640428428-h2-commodity;r120640472472-h2-commodity;r120670124124-h2-commodity;r120670201201-h2-commodity;r120640428428-residual_waste-commodity;r120640472472-residual_waste-commodity;r120670124124-residual_waste-commodity;r120670201201-residual_waste-commodity
to;r120640428428-biomass_gas;r120640472472-biomass_gas;r120670124124-biomass_gas;r120670201201-biomass_gas;r120640428428-biomass_solid;r120640472472-biomass_solid;r120670124124-biomass_solid;r120670201201-biomass_solid;r120640428428-electricity;r120640472472-electricity;r120670124124-electricity;r120670201201-electricity;r120640428428-h2;r120640472472-h2;r120670124124-h2;r120670201201-h2;r120640428428-residual_waste;r120640472472-residual_waste;r120670124124-residual_waste;r120670201201-residual_waste
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-07-03 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.7544208183793;6.245863103687431;2.1617161073068063;87.41758195963651;0.0;0.0;0.0;0.0;1.252062202292198;0.0;0.0;0.0
2019-07-03 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.94211470759032;4.842462086177108;1.6920193003187152;78.55600130242732;0.0;0.0;0.0;0.0;1.3235480106852457;0.0;0.0;0.0
2019-07-03 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05662518761943733;15.528968769248966;2.4968140434402617;0.9369394618788496;64.55833924995554;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 08:00:00;0.0;0.0;0.0;0.0;0.04748779758013571;0.040219368489498294;0.02793328110046087;0.8667445316824974;18.822917359160453;5.242900934445733;2.0515336490886247;73.09441956641068;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 09:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;20.759017254555864;7.7929196625785515;3.091136778811279;76.64501175962057;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 10:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;17.40106067925626;7.333375284139458;2.860982134585061;62.765573251386414;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 11:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;15.857347026215887;6.812926279786665;2.780870111317097;57.12333336110588;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 12:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;17.458413469741956;8.311490583565655;3.344478487404428;60.74333460502364;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 13:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;21.665371845056033;10.116571879382043;3.9223277182583187;75.33050050732211;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-07-03 14:00:00;0.0;0.0;0.0;0.0;0.05563164886306136;0.04711673101971325;0.03272365881259702;1.005674778938913;18.722944711466045;8.34139124986634;3.2455538030013975;66.4218582294241;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
