from;r120670201201-biomass_gas-bpchp_heat_high;r120670201201-biomass_gas-bpchp_heat_low_central;r120670201201-biomass_gas-bpchp_heat_low_decentral;r120670201201-biomass_solid-bpchp_heat_high;r120670201201-biomass_solid-bpchp_heat_low_central;r120670201201-biomass_solid-bpchp_heat_low_decentral;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity-import;r120670201201-electricity-large_battery_storage;r120670201201-electricity-pv_agri_horizontal;r120670201201-electricity-pv_agri_vertical;r120670201201-electricity-pv_ground;r120670201201-electricity-pv_rooftop;r120670201201-electricity-small_battery_storage;r120670201201-electricity-wind;r120670201201-h2-bpchp_heat_high;r120670201201-residual_waste-bpchp_heat_high;r120670201201-residual_waste-bpchp_heat_low_central
to;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity-boiler_heat_high;r120670201201-electricity-demand_cts;r120670201201-electricity-demand_hh;r120670201201-electricity-demand_ind;r120670201201-electricity-demand_mob;r120670201201-electricity-electrolyzer;r120670201201-electricity-export;r120670201201-electricity-heatpump_central;r120670201201-electricity-heatpump_decentral;r120670201201-electricity-heatpump_heat_high;r120670201201-electricity-large_battery_storage;r120670201201-electricity-small_battery_storage;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-02 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0118344408600284;0.7014849756111743;87.52694875112766;0.6178785312380131;0.0;0.0;0.2845101592110258;2.5196942513632443;3.6954769344984846;0.0;0.0;98.35782804390965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.860743061335273;0.5409494303718747;87.52694875112766;0.22871578161372982;0.0;0.0;0.29167340851043433;2.583133807022184;3.741718845328244;0.0;0.0;97.77388308530941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6735209559166266;0.41384956421000163;87.52694875112766;0.09797793449952812;0.0;0.0;0.296174020512918;2.622992370321722;3.7803831725564474;0.0;0.0;97.41184676914492;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.480460041872764;0.371778179940392;87.52694875112766;0.09153053431383255;0.0;0.0;0.31329499927290266;3.035358451884515;3.727388020382867;0.0;0.0;97.54675897879493;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.420371598034975;0.3467567777168873;87.52694875112766;0.05803244920266252;0.0;0.0;0.3591701094054644;3.3802194733405755;3.7651668354659997;0.0;0.0;97.85666599429423;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 05:00:00;0.0;0.0;0.0;0.0;0.0;0.2290372606615297;0.0;2.552976775335547;0.3403353559073153;87.52694875112766;0.04025124221003393;0.0;0.0;0.4629810046388373;3.405512944407177;3.978566473567994;0.0;0.0;98.07853528653304;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 06:00:00;0.0;0.0;0.9596980208007688;0.0;0.0;0.2290372606615297;0.0;2.9518724224777793;0.35539248290907044;87.52694875112766;0.032207012293486006;0.0;0.0;0.49820306968525596;3.4116398042771747;4.353801564921024;0.0;0.0;97.94132982622915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 07:00:00;0.0;0.0;1.0338804542865452;0.07776705303743271;0.0;0.2290372606615297;0.0;3.236513996772256;0.4076495707386906;87.52694875112766;0.12577760270076319;0.0;0.0;0.47679145699095765;3.424990592192769;4.517407411536928;0.0;0.0;98.3730206795651;0.0;0.0;0.0023739345094100335;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 08:00:00;0.0;0.0;0.9849910369473178;0.07776705303743271;0.0;0.2290372606615297;0.0;3.5769922416219773;0.6718135782841866;87.52694875112766;0.11376632512376268;0.0;0.0;0.4759553696194963;3.431187800743178;4.481123014657113;0.0;0.0;91.5949091733651;0.0;0.0;0.02203409133357022;0.03797421517134656;0.0;0.0;7.331074250661095;0.0;0.0;0.0
2019-01-02 09:00:00;0.0;0.0;0.6071212045239311;0.07776705303743271;0.0;0.2290372606615297;0.12087287082179417;4.000354318563656;1.1270702417483933;87.52694875112766;0.25033739178799425;0.0;0.0;0.4619893090898344;3.424990592192769;4.427776312101671;0.0;0.0;81.55061016923771;0.0;0.0;0.043791353956926585;0.09704521654899695;0.0;0.0;18.734967529467244;0.0;0.0;0.0
